Answer.time_in_minutes,Answer.condition,topicType,workerid,scope,endTime,item,startTime,objectType,Answer.justification,response,itemType,slide_number,type,responseTime
15.433266666666666,undefined,,0,,1569952557390,practice1,1569952550303,,undefined,0.98,practice,3,practice,7087
15.433266666666666,undefined,,0,,1569952587229,practice2,1569952580534,,undefined,0.91,practice,4,practice,6695
15.433266666666666,undefined,SubjectTopic,0,inverse,1569952649278,control4,1569952643917,Set,undefined,0.04,control,6,trial,5361
15.433266666666666,undefined,ObjectTopic,0,surface,1569952704190,toys,1569952691895,Set,undefined,0.89,test,7,trial,12295
15.433266666666666,undefined,ObjectTopic,0,surface,1569952780950,control6,1569952770267,Individual,undefined,0.92,control,8,trial,10683
15.433266666666666,undefined,ObjectTopic,0,surface,1569952836622,games,1569952831760,Individual,undefined,0.96,test,9,trial,4862
15.433266666666666,undefined,SubjectTopic,0,surface,1569952881549,control2,1569952876568,Set,undefined,0.96,control,10,trial,4981
15.433266666666666,undefined,ObjectTopic,0,surface,1569952933133,princesses,1569952926178,Individual,undefined,0.83,test,11,trial,6955
15.433266666666666,undefined,ObjectTopic,0,surface,1569953007086,puppies,1569953000163,Individual,undefined,0.94,test,12,trial,6923
15.433266666666666,undefined,ObjectTopic,0,inverse,1569953082061,iceCream,1569953063367,Set,undefined,0.08,test,13,trial,18694
15.433266666666666,undefined,ObjectTopic,0,surface,1569953126157,fish,1569953123369,Set,undefined,0.94,test,14,trial,2788
15.433266666666666,undefined,ObjectTopic,0,inverse,1569953186878,control5,1569953180959,Set,undefined,0.02,control,15,trial,5919
15.433266666666666,undefined,ObjectTopic,0,inverse,1569953253783,control3,1569953243226,Individual,undefined,0.15,control,16,trial,10557
15.433266666666666,undefined,SubjectTopic,0,surface,1569953305893,control1,1569953303364,Individual,undefined,0.97,control,17,trial,2529
14.22655,undefined,,1,,1569952651654,practice1,1569952642568,,undefined,0.66,practice,3,practice,9086
14.22655,undefined,,1,,1569952679478,practice2,1569952673083,,undefined,1,practice,4,practice,6395
14.22655,undefined,SubjectTopic,1,surface,1569952733069,princesses,1569952724785,Individual,undefined,0.7,test,6,trial,8284
14.22655,undefined,SubjectTopic,1,inverse,1569952788676,control1,1569952780910,Individual,undefined,0.35,control,7,trial,7766
14.22655,undefined,SubjectTopic,1,inverse,1569952848391,puppies,1569952839061,Individual,undefined,0.13,test,8,trial,9330
14.22655,undefined,ObjectTopic,1,surface,1569952905923,control3,1569952902365,Set,undefined,1,control,9,trial,3558
14.22655,undefined,ObjectTopic,1,inverse,1569952960795,games,1569952953115,Individual,undefined,0.08,test,10,trial,7680
14.22655,undefined,SubjectTopic,1,inverse,1569953037466,control6,1569953024554,Individual,undefined,0,control,11,trial,12912
14.22655,undefined,ObjectTopic,1,inverse,1569953087762,fish,1569953077241,Set,undefined,0.56,test,12,trial,10521
14.22655,undefined,SubjectTopic,1,inverse,1569953147537,control5,1569953137636,Individual,undefined,0,control,13,trial,9901
14.22655,undefined,SubjectTopic,1,inverse,1569953203920,toys,1569953191296,Individual,undefined,0,test,14,trial,12624
14.22655,undefined,SubjectTopic,1,surface,1569953246088,control2,1569953242690,Set,undefined,1,control,15,trial,3398
14.22655,undefined,SubjectTopic,1,surface,1569953303144,control4,1569953296330,Set,undefined,1,control,16,trial,6814
14.22655,undefined,SubjectTopic,1,surface,1569953351296,iceCream,1569953346579,Set,undefined,1,test,17,trial,4717
12.7098,undefined,,2,,1569953325823,practice1,1569953321060,,undefined,0.97,practice,3,practice,4763
12.7098,undefined,,2,,1569953356148,practice2,1569953348141,,undefined,0.87,practice,4,practice,8007
12.7098,undefined,SubjectTopic,2,surface,1569953427497,control6,1569953423488,Individual,undefined,0.92,control,6,trial,4009
12.7098,undefined,ObjectTopic,2,surface,1569953480976,control5,1569953478235,Individual,undefined,0.95,control,7,trial,2741
12.7098,undefined,ObjectTopic,2,inverse,1569953537696,fish,1569953523702,Individual,undefined,0.66,test,8,trial,13994
12.7098,undefined,ObjectTopic,2,surface,1569953589131,princesses,1569953582216,Individual,undefined,0.1,test,9,trial,6915
