workerid,anon_workerid
AVI7K876BV3QL,0
A1MJFW27HXR76D,1
A2581F7TDPAMBQ,2
AZL871S7SZCNS,3
A7KKB6J717F1V,4
A2RVEG53L48BAE,5
A1DX0Z20W07YOR,6
A27353U3GOR77W,7
A207IHY6GERCFO,8
A3MYTEE8WSEQ2Z,9
A63U6I4JM5APR,10
AYKZ9H4BNW810,11
A2FLOH4DM8A4ZS,12
A2V27A9GZA1NR2,13
A1AQQFJAF8CI4H,14
A2Q1BZPQ1BFPSM,15
A12HZGOZQD5YK7,16
AHEVIE2NY1W1Z,17
AS3GWXBJL6I2B,18
A12A5GVJX5RZC4,19
AEO84PDSWW0W,20
A12NO2MNOIREXA,21
A2CJYS92WX7HN6,22
AMVBT3XDCQBHI,23
A1UZN21EAN1HZ4,24
A31X0GSY38JNZY,25
A16KPD0UW2OPBA,26
A1PTX4IB9R34LI,27
A369RF97DE3FAI,28
A1PHDT66U6IK4Q,29
ADWDNBND4BW94,30
A3G3WL3P1CP66H,31
A24YH95DSHXH9V,32
AXJ1PE87PD0KK,33
AHPOOKYE7V04D,34
A248IBH3PEK4MP,35
A2R02DYCDLY75U,36
A1QUBLZCONL4QD,37
A3FFZN4FO3Q789,38
A5TMU62U5FE5K,39
A198MSVO1VTAT5,40
A1B4778ETVFAL8,41
A3HHDPKL3O3O7Y,42
A333BKDMGVX18L,43
A3LLOANE52R4LT,44
A17K1CHOI773VZ,45
AZ8JL3QNIPY4U,46
AJAD1XCO510Y1,47
A2YCMT5BPA0AG9,48
A353XKDTUX10NC,49
A3UF6XXFFRR237,50
A1IFIK8J49WBER,51
A2UYZFH5VT5R3H,52
AV22FQTJNBUZT,53
A2CWJRAEFZ44HU,54
A2NXMRPHG86N2T,55
AMTTB8JUWRRM7,56
A3H32595TVJ34Q,57
A29CQ6SI6TN3DJ,58
A2UREJJH126LX9,59
A1UNBT94I82S8V,60
A2OVX9UW5WANQE,61
A1RFH0LZHG2C1R,62
